"uri","label","skos_alt_label","skos_pref_label","iao_definition","chebi_formula","oio_exact_synonym","oio_related_synonym","iao_alternative_term","skos_definition","iao_preferred_label","rdf_comment","oio_broad_synonym","apollo_label","iao_elucidation","oio_narrow_synonym","obi_isa_term","iedb_alternative_term","oio_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_obo_unique_label","iao_nl_axiom"
"http://purl.obolibrary.org/obo/PATO_0001028","['acceleration']","","","[""A physical quality inhering in a bearer by virtue of the rate of change of the bearer's velocity in either speed or direction.""]","","","","","","","","","","","","","","","['acceleration']",1,1,20.049398593891066,20.049398593891066,20.049398593891066,"",""
"http://purl.obolibrary.org/obo/FOODON_00001778","['cow milk hard cheese food product']","","","","","","","","","","","","","","","","","","['cheddar cheese', 'cheddar']",2,5,6.900012082645451,6.128161829774467,19.86329179004956,"",""
"http://purl.obolibrary.org/obo/PATO_0000161","['rate']","","","[""A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.""]","","","","","","","","","","","","","","","['rate']",1,1,17.89109249350541,17.89109249350541,17.89109249350541,"",""
"http://purl.obolibrary.org/obo/PATO_0001309","['duration']","","","[""A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.""]","","['period']","['time']","","","","","","","","","","","","['period']",1,1,17.621813712611843,17.621813712611843,17.621813712611843,"",""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000121","['species']","","","","","","","","","","","","['species']","['an interbreeding population']","","","","","['specie']",1,3,12.497356435515764,12.4972374794049,17.376023650230664,"",""
"http://purl.obolibrary.org/obo/PATO_0000057","['occurrence']","","","[""A quality of a single process inhering in a bearer by virtue of the bearer's occurrence.""]","","['incidence']","","","","","","['temporal']","","","","","","","['occurrence']",1,3,12.444999455914251,12.418772476868918,17.266926760455824,"",""
"http://purl.obolibrary.org/obo/NCBITaxon_1036177","['Lactobacillus plantarum subsp. plantarum NC8']","","","","","['Lactobacillus plantarum subsp. plantarum str. NC8', 'Lactobacillus plantarum subsp. plantarum strain NC8']","['Lactobacillus plantarum subsp. plantarum CCUG 61730']","","","","","","","","","","","","['plantarum strain']",1,1,16.65586083445623,16.65586083445623,16.65586083445623,"",""
"http://purl.obolibrary.org/obo/FOODON_00001013","['cheese food product']","","","['Cheese is a food derived from milk that is produced in a wide range of flavors, textures, and forms by coagulation of the milk protein casein.']","","","","['cheese']","","","","","","","","","","","['cheddar cheese', 'cheddar']",2,5,5.4465694654311685,4.837304442584912,15.679218710172888,"",""
"http://purl.obolibrary.org/obo/FOODON_00002421","['cambozola cheese']","","","[""Cambozola is a cow's milk cheese that is a combination in style of a French soft-ripened triple cream cheese and Italian Gorgonzola.""]","","['camembert-blue cheese']","","","","","","","","","","","","","['cheese']",1,1,14.421113059297308,14.421113059297308,14.421113059297308,"",""
"http://purl.obolibrary.org/obo/OBI_0000427","['enzyme']","","","['(protein or rna) or has_part (protein or rna) and\n\nhas_function some GO:0003824 (catalytic activity)']","","","","","","['enzyme']","","","","","","","","","['enzyme']",1,1,14.101724875339507,14.101724875339507,14.101724875339507,"",""
"http://purl.obolibrary.org/obo/GO_0019363","['pyridine nucleotide biosynthetic process']","","","['The chemical reactions and pathways resulting in the formation of a pyridine nucleotide, a nucleotide characterized by a pyridine derivative as a nitrogen base.']","","['pyridine nucleotide anabolism', 'pyridine nucleotide biosynthesis', 'pyridine nucleotide formation', 'pyridine nucleotide synthesis']","","","","","","","","","","","","","['pyridine nucleotide']",1,1,14.082050951029847,14.082050951029847,14.082050951029847,"",""
"http://purl.obolibrary.org/obo/PATO_0000049","['intensity']","","","[""A quality inhering in a bearer by virtue of the bearer's possessing or displaying a distinctive feature in type or degree or effect or force.""]","","","","","","","","","","","","","","","['intensity']",1,1,12.361652583462037,12.361652583462037,12.361652583462037,"",""
"http://purl.obolibrary.org/obo/FOODON_03310352","['cheese curd']","","","","","","","","","","[""SIREN DB annotation:\n\n* has quality 'solid' (http://purl.obolibrary.org/obo/FOODON_03430151)\n\n* derives from 'curd' (http://purl.obolibrary.org/obo/FOODON_03420245)\n\n* formed as a result of 'lactic acid-other agent fermentation process' (http://purl.obolibrary.org/obo/FOODON_03460107)\n\n* formed as a result of 'enzymatic modification process' (http://purl.obolibrary.org/obo/FOODON_03460252)""]","","","","","","","","['cheese curd']",1,1,12.252489033034832,12.252489033034832,12.252489033034832,"",""
