"uri","label","skos_alt_label","skos_pref_label","iao_definition","oio_exact_synonym","rdf_comment","iao_preferred_label","iao_alternative_term","oio_related_synonym","apollo_label","iao_elucidation","oio_broad_synonym","oio_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_narrow_synonym","obi_isa_term"
"http://purl.obolibrary.org/obo/OBCS_0000058","['sensitivity']","","","['A data item that measures the proportion of actual positives which are correctly identified as such (e.g. the percentage of sick people who are correctly identified as having the condition).']","","","","","","","","","","['sensitivity']",1,4,13.533101173495263,13.405702421911046,20.319245246599138,"",""
"http://purl.obolibrary.org/obo/CHEBI_25944","['pesticide']","","","['Strictly, a substance intended to kill pests. In common usage, any substance used for controlling, preventing, or destroying animal, microbiological or plant pests.']","['pesticide']","","","","['pesticides', 'Pestizid', 'Pestizide']","","","","","['pesticide']",1,1,16.280526412139956,16.280526412139956,16.280526412139956,"",""
"http://purl.obolibrary.org/obo/CHMO_0000482","['electrospray ionisation mass spectrometry']","","","['Spectrometry where the sample is ionised by electrospray ionization. The ions are then characterised by their mass-to-charge ratio and relative abundance.']","['electrospray ionisation mass spectroscopy', 'electrospray ionization mass spectrometry', 'electrospray ionization mass spectroscopy', 'electrospray mass spectrometry', 'ES-MS', 'ESI MS', 'ESI-mass spectrometry', 'ESI-MS', 'ESIMS', 'ESMS', 'MS (EI)']","","","","","","","","","['full-scan high resolution mass spectrometry']",1,1,15.875361720340553,15.875361720340553,15.875361720340553,"",""
"http://purl.obolibrary.org/obo/CHMO_0002743","['matrix']","","","['Those components of a sample that are not measured by an experiment.']","","","","","","","","","","['matrix']",1,1,14.907620130249063,14.907620130249063,14.907620130249063,"",""
"http://purl.obolibrary.org/obo/FOODON_03309832","['orange (whole, raw)']","","","['The orange is the fruit of the citrus species Citrus × sinensis in the family Rutaceae.']","['orange', 'sweet orange']","[""SIREN DB annotation:\n\n* has quality 'whole, natural shape' (http://purl.obolibrary.org/obo/FOODON_03430150)\n\n* has quality 'not heat-treated' (http://purl.obolibrary.org/obo/FOODON_03440003)\n\n* derives from 'fruit, peel present, core, pit or seed present' (http://purl.obolibrary.org/obo/FOODON_03420140)""]","","['orange']","","","","","","['orange']",1,1,14.094110019133279,14.094110019133279,14.094110019133279,"",""
"http://purl.obolibrary.org/obo/FOODON_03301826","['olive oil']","","","","","[""SIREN DB annotation:\n\n* has quality 'liquid, high viscosity, with no visible particles' (http://purl.obolibrary.org/obo/FOODON_03430139)\n\n* derives from 'fat or oil' (http://purl.obolibrary.org/obo/FOODON_03420190)""]","","","","","","","","['olive oil']",1,1,13.291316972351838,13.291316972351838,13.291316972351838,"",""
"http://purl.obolibrary.org/obo/PATO_0000918","['volume']","","","[""A 3-D extent quality inhering in a bearer by virtue of the bearer's amount of 3-dimensional space it occupies.""]","","","['volume']","","","","","","","['volume']",1,1,11.019960266419599,11.019960266419599,11.019960266419599,"",""
"http://purl.obolibrary.org/obo/PATO_0002182","['molecular quality']","","","['A quality which inheres in a molecular entity, a single molecule, atom, ion, radical etc.']","['relational molecular quality']","","['molecular quality']","","","","","","","['concentration']",1,1,10.160002271284892,10.160002271284892,10.160002271284892,"",""
"http://purl.obolibrary.org/obo/PATO_0001029","['efficiency']","","","[""A physical quality inhering in a bearer by virtue of ratio of the bearer's output to the bearer's input.""]","","","","","","","","","","['efficiency']",1,1,9.997780740501739,9.997780740501739,9.997780740501739,"",""
"http://purl.obolibrary.org/obo/CHMO_0000968","['orbitrap']","","","['A mass-to-charge analyser that consists of two coaxial axially symmetric electrodes, the outer one in the shape of a barrel, the inner one in the shape of a spindle, that traps ions in oscillating trajectories along the z-axis according to their mass-to-charge ratio.']","","","","","","","","","","['q-exactive orbitrap instrument']",1,1,9.809086501759948,9.809086501759948,9.809086501759948,"",""
