"uri","label","skos_pref_label","iao_preferred_label","iao_definition","oio_exact_synonym","obo_external_ontology_notes","obo_homology_notes","rdf_comment","skos_alt_label","iao_alternative_term","oio_related_synonym","obi_isa_term","apollo_label","chebi_formula","iao_elucidation","oio_broad_synonym","iedb_alternative_term","skos_definition","oio_narrow_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_synonym"
"http://snomed.info/id/26105007","['Holstein-Friesian cattle breed (organism)']","['Holstein-Friesian cattle']","","","","","","","['Holstein-Friesian cattle breed']","","","","","","","","","","","['Holstein cow', 'holstein cow']",2,2,7.018109289301899,7.018038575148811,17.28043796886715,""
"http://purl.obolibrary.org/obo/OBI_0000011","['planned process', 'planned process']","","['planned process', 'planned process']","['A process that realizes a plan which is the concretization of a plan specification.', 'A processual entity that realizes a plan which is the concretization of a plan specification.']","","","","","","","","","","","","","","","","['treatment a', 'measure', 'investigation', 'treatment', 'assay']",5,8,3.3813722750829402,1.5900125976846646,14.835342105989328,""
"http://purl.obolibrary.org/obo/UO_0000003","['time unit']","","['time unit']","['A unit which is a standard measure of the dimension in which events occur in sequence.']","['time derived unit']","","","['""A unit which is a standard measure of the dimension in which events occur in sequence."" [Wikipedia:Wikipedia]']","","","","","['unitOfTime']","","","","","","","['year', 'day']",2,8,5.890264667771159,3.8060061799599088,14.20451732758228,""
"http://purl.obolibrary.org/obo/CHMO_0000793","['assay output']","","","['An information content entity that is output by an assay.']","['experimental data']","","","","","","","","","","","","","","","['concentration']",1,4,9.33305725067447,8.585911194089627,13.013807835468722,""
"http://snomed.info/id/282813000","['International System of Units unit of volume per unit body weight (qualifier value)']","['SI unit of volume per unit body weight']","","","","","","","['International System of Units unit of volume per unit body weight']","","","","","","","","","","","['body weight']",1,4,7.658530351756895,7.658529717257698,11.608160367559687,""
"http://purl.obolibrary.org/obo/PATO_0001309","['duration']","","","[""A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.""]","['period']","","","","","","['time']","","","","","","","","","['period']",1,1,11.5889599881631,11.5889599881631,11.5889599881631,""
"http://purl.obolibrary.org/obo/FOODON_03315150","['mammalian milk product']","","","","","","","[""SIREN DB annotation:\n\n* derives from 'milk (mammary secretion)' (http://purl.obolibrary.org/obo/UBERON_0001913)""]","","","","","","","","","","","","['milk']",1,9,5.786849098957627,5.135558030447587,9.927968575166402,""
"http://snomed.info/id/119321005","['Milk specimen (specimen)']","['Milk specimen']","","","","","","","['Milk sample']","","","","","","","","","","","['milk sample']",1,1,9.891738410524065,9.891738410524065,9.891738410524065,""
"http://snomed.info/id/387321007","['Gentamicin (substance)']","['Gentamicin']","","","","","","","","","","","","","","","","","","['gentamicin']",1,2,7.766503080042623,7.766503080025981,9.56168687820007,""
"http://purl.obolibrary.org/obo/UO_0000036","['year']","","['year']","['A time unit which is equal to 12 months which in science is taken to be equal to 365.25 days.', 'A time unit which is equal to 12 months which is science is taken to be equal to 365.25 days.']","","","","['""A time unit which is equal to 12 months which in science is taken to be equal to 365.25 days."" [Wikipedia:Wikipedia]']","","","","","","","","","","","","['year']",1,1,9.414139712580461,9.414139712580461,9.414139712580461,""
"http://purl.obolibrary.org/obo/OBI_0000984","['dose']","","['dose']","['A measurement datum that measures the quantity of something that may be administered to an organism or that an organism may be exposed to. Quantities of nutrients, drugs, vaccines and toxins are referred to as doses.']","","","","","","","","","","","","","","","","['dose']",1,2,11.46109114570163,7.386482972649081,9.093827246044267,""
"http://snomed.info/id/272075008","['Upper case Roman letter (qualifier value)']","['Upper case Roman letter']","","","","","","","['Upper case Roman letters']","","","","","","","","","","","['e', 'f', 'd', 'b']",4,12,1.1212141029965526,1.0784723656850093,9.091245519582188,""
"http://snomed.info/id/421151005","['Upper case Roman letter B (qualifier value)']","['B']","","","","","","","['Upper case Roman letter B']","","","","","","","","","","","['b']",1,4,5.728585469884114,5.728572901900399,8.68289284987298,""
