"uri","label","skos_alt_label","skos_pref_label","iao_definition","oio_exact_synonym","rdf_comment","iao_alternative_term","iao_preferred_label","oio_related_synonym","chebi_formula","oio_narrow_synonym","oio_synonym","oio_broad_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_elucidation","iao_nl_axiom"
"http://snomed.info/id/256351003","['Brazil nut (substance)']","","['Brazil nut']","","","","","","","","","","","['Brazil nut']",1,1,32.556805019250454,32.556805019250454,32.556805019250454,"",""
"http://purl.obolibrary.org/obo/OBI_1110201","['allergen']","","","['A material entity bearing the disposition to cause an allergic reaction']","","","","['allergen']","","","","","","['allergen']",1,4,17.657308647296034,16.645547721311804,25.229932439831707,"",""
"http://purl.obolibrary.org/obo/FOODON_00002932","['hazelnut food product']","","","['A hazelnut food product is a food product that derives from hazelnuts']","","","","","","","","","","['hazelnut']",1,2,18.857013102907025,18.569275875346946,22.861460253793922,"",""
"http://purl.obolibrary.org/obo/FOODON_03315233","['walnut (whole, raw)']","","","","['walnut']","[""SIREN DB annotation:\n\n* has quality 'whole, natural shape' (http://purl.obolibrary.org/obo/FOODON_03430150)\n\n* has quality 'not heat-treated' (http://purl.obolibrary.org/obo/FOODON_03440003)\n\n* derives from 'seed (anatomical part)' (http://purl.obolibrary.org/obo/FOODON_03420155)""]","","","","","","","","['walnut']",1,1,22.522528970169393,22.522528970169393,22.522528970169393,"",""
"http://purl.obolibrary.org/obo/OBI_0200198","['tandem mass spectrometry']","","","['Tandem mass spectrometry is a data transformation that uses two or more analyzers separated by a region in which ions can be induced to fragment by transfer of energy (frequently by collision with other molecules).']","","","","['tandem mass spectrometry']","","","","","","['lc-ms/ms', 'lc-tandem ms method']",2,2,15.895017717539869,9.132223000886485,22.486170657922685,"",""
"http://snomed.info/id/226580008","['Pita bread (substance)']","","['Pitta bread', 'Pita bread']","","","","","","","","","","","['bread']",1,1,19.7115940011189,19.7115940011189,19.7115940011189,"",""
"http://purl.obolibrary.org/obo/FOODON_03301299","['peanut (whole, raw)']","","","","","[""SIREN DB annotation:\n\n* has quality 'whole, natural shape' (http://purl.obolibrary.org/obo/FOODON_03430150)\n\n* has quality 'not heat-treated' (http://purl.obolibrary.org/obo/FOODON_03440003)\n\n* derives from 'seed (anatomical part)' (http://purl.obolibrary.org/obo/FOODON_03420155)""]","['peanuts']","","","","","","","['peanut butter']",1,1,18.174721418679745,18.174721418679745,18.174721418679745,"",""
"http://snomed.info/id/256443002","['Egg white (substance)']","","['Egg white']","","","","","","","","","","","['egg white']",1,1,17.972661403409084,17.972661403409084,17.972661403409084,"",""
"http://purl.obolibrary.org/obo/FOODON_03301484","['skim milk food product']","","","['Skimmed milk (British English), or skim milk (American English), is made when all the milkfat is removed from whole milk. It tends to contain around 0.1% fat.']","['nonfat milk', 'skim milk', 'skimmed milk']","[""SIREN DB annotation:\n\n* has quality 'liquid, low viscosity, with no visible particles' (http://purl.obolibrary.org/obo/FOODON_03430123)\n\n* has quality 'partially heat-treated' (http://purl.obolibrary.org/obo/FOODON_03440018)\n\n* derives from 'milk (mammary secretion)' (http://purl.obolibrary.org/obo/UBERON_0001913)\n\n* formed as a result of 'full fat removal process' (http://purl.obolibrary.org/obo/FOODON_03460248)\n\n* formed as a result of 'pasteurization by heating' (http://purl.obolibrary.org/obo/FOODON_03470135)\n\n* has consumer 'low fat food' (http://purl.obolibrary.org/obo/FOODON_03510039)""]","","","","","","","","['skim milk']",1,1,16.166106711327394,16.166106711327394,16.166106711327394,"",""
"http://purl.obolibrary.org/obo/FOODON_00003115","['pine nut food product']","","","","","","","","","","","","","['pine nut']",1,1,15.181981020455014,15.181981020455014,15.181981020455014,"",""
"http://purl.obolibrary.org/obo/FOODON_00003205","['peanut substance']","","","","","","","","","","","","","['peanut butter']",1,1,14.09531309429392,14.09531309429392,14.09531309429392,"",""
"http://snomed.info/id/79970003","['Simultaneous (qualifier value)']","['Concomitant', 'Concomitantly with', 'Simultaneously with']","['Simultaneous']","","","","","","","","","","","['simultaneous', 'simultaneously']",2,2,7.177949896106703,5.715366632449179,14.072883399515508,"",""
"http://purl.obolibrary.org/obo/FOODON_03411272","['almond tree']","","","","","['LanguaL curation note: When indexing the almond fruit (drupe), index both *ALMOND [B2721]* and *FRUIT [C0167]* (or its more precise narrower terms).']","","","","","['Prunus dulcis (Mill.) D. A. Webb', 'Prunus dulcis (Mill.) D.A.Webb', 'Prunus dulcis (P. Mill.) D.A. Webber']","['prunus amygdalus', 'prunus communis', 'prunus dulcis']","","['almond']",1,1,13.988814013856274,13.988814013856274,13.988814013856274,"",""
"http://purl.obolibrary.org/obo/CHMO_0000524","['liquid chromatography-mass spectrometry']","","","['A method where a sample mixture is first separated by liquid chromatography before being converted into ions which are characterised by their mass-to-charge ratio and relative abundance.']","['iquid chromatography/mass spectrometry', 'LC MS', 'LC-MS', 'LC/MS', 'LCMS', 'liquid chromatography mass spectrometry']","","","","","","","","","['lc-ms/ms', 'lc-tandem ms method']",2,2,8.517929088101717,4.893837133156843,12.050040492611897,"",""
"http://purl.obolibrary.org/obo/FOODON_03411062","['temperate-zone nut producing plant']","","","","","","","","","","","","","['pecan']",1,1,11.9614808609175,11.9614808609175,11.9614808609175,"",""
