"uri","label","skos_pref_label","iao_definition","oio_exact_synonym","skos_alt_label","oio_related_synonym","iao_alternative_term","oio_synonym","oio_narrow_synonym","rdf_comment","iao_preferred_label","obi_isa_term","iedb_alternative_term","chebi_formula","obo_external_definition","obo_taxon_notes","obo_homology_notes","obo_external_ontology_notes","oio_broad_synonym","obo_relational_adjective","apollo_label","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2"
"http://purl.obolibrary.org/obo/UBERON_0000465","['material anatomical entity']","","['Anatomical entity that has mass.']","","","","","","","","['material anatomical entity']","","","","","","","","","","","['tissue', 'colon', 'adrenal gland', 'brain']",4,5,4.425602481086713,2.218466278951518,14.381488038092895
"http://snomed.info/id/226204000","['Soy-free diet (finding)']","['Soya-free diet', 'Soy-free diet']","","","","","","","","","","","","","","","","","","","","['fescue-free diet']",1,2,14.636143031637687,11.327026035365185,13.945204823252263
"http://purl.obolibrary.org/obo/PATO_0002107","['peripheral']","","[""A positional quality inhering in a bearer by virtue of the bearer's being at the edge or boundary of a related entity.""]","","","","","","","","","","","","","","","","","","","['peripheral']",1,2,10.203495955620246,10.197678681123897,12.55481513735224
"http://purl.obolibrary.org/obo/NCBITaxon_9940","['Ovis aries']","","","['domestic sheep', 'lambs', 'sheep', 'wild sheep']","","['Ovis ammon aries', 'Ovis orientalis aries', 'Ovis ovis']","","","","","","","","","","","","","","","","['sheep']",1,1,11.997518326711866,11.997518326711866,11.997518326711866
"http://snomed.info/id/4112004","['Acremonium coenophialum (organism)']","['Acremonium coenophialum']","","","","","","","","","","","","","","","","","","","","['acremonium coenophialum']",1,1,10.88801126389515,10.88801126389515,10.88801126389515
"http://purl.obolibrary.org/obo/XCO_0000197","['indicator']","","['Any substance that indicates the presence, absence, or concentration of another substance or the degree of reaction between substances by means of a characteristic change, especially in color.']","","","","","","","","","","","","","","","","","","","['indicator']",1,1,10.618778688805444,10.618778688805444,10.618778688805444
"http://purl.obolibrary.org/obo/FOODON_03420255","['organ meat, other systems']","","['Meat from organs that do not belong to the cardiovascular, digestive or urogenital system.']","","","","","","","","","","","","","","","","","","","['brain']",1,1,9.972402056997577,9.972402056997577,9.972402056997577
"http://purl.obolibrary.org/obo/UBERON_0006858","['adrenal/interrenal gland']","","['This gland can either be a discrete structure located bilaterally above each kidney, or a cluster of cells in the head kidney that perform the functions of the adrenal gland. In either case, this organ consists of two cells types, aminergic chromaffin cells and steroidogenic cortical cells[GO]']","['adrenal gland - interrenal gland', 'adrenal gland/interrenal tissue']","","['adrenal - interrenal gland', 'suprarenal gland - interrenal gland']","","","","","","","","","","","['All craniates have groups of cells homologous to the mammalian adrenocortical and chromaffin tissues, but they are scattered in and near the kidneys in fishes. (...) The cortical and chromaffin tissues come together to form adrenal glands in tetrapods.[well established][VHOG]']","","","","","['adrenal gland']",1,1,9.898949855607253,9.898949855607253,9.898949855607253
"http://purl.obolibrary.org/obo/OGMS_0000090","['treatment']","","['A planned process whose completion is hypothesized by a health care provider to eliminate, prevent, or alleviate the signs and symptoms of a disorder or pathological process', 'A processual entity whose completion is hypothesized (by a healthcare provider) to alleviate the signs and symptoms associated with a disorder']","","","","","","","['Apollo-SV currently defines two subclasses of treatment.\n\nSee vaccination and antiviral treatment.']","['treatment']","","","","","","","","","","['Treatment']","['treatment']",1,1,9.621816838516787,9.621816838516787,9.621816838516787
"http://purl.obolibrary.org/obo/UBERON_0004251","['hindlimb zeugopod bone']","","['A bone that is part of a lower leg [Automatically generated definition].']","['bone of hind limb middle limb segment', 'bone of hind limb zeugopod', 'bone of hindlimb middle limb segment', 'bone of hindlimb zeugopod', 'bone of inferior member middle limb segment', 'bone of inferior member zeugopod', 'bone of intermediate segment of free lower limb', 'bone of lower extremity middle limb segment', 'bone of lower extremity zeugopod', 'bone of lower leg', 'bone of middle limb segment of hind limb', 'bone of middle limb segment of hindlimb', 'bone of middle limb segment of inferior member', 'bone of middle limb segment of lower extremity', 'bone of zeugopod of hind limb', 'bone of zeugopod of hindlimb', 'bone of zeugopod of inferior member', 'bone of zeugopod of leg', 'bone of zeugopod of lower extremity', 'bone organ of hind limb middle limb segment', 'bone organ of hind limb zeugopod', 'bone organ of hindlimb middle limb segment', 'bone organ of hindlimb zeugopod', 'bone organ of inferior member middle limb segment', 'bone organ of inferior member zeugopod', 'bone organ of intermediate segment of free lower limb', 'bone organ of lower extremity middle limb segment', 'bone organ of lower extremity zeugopod', 'bone organ of lower leg', 'bone organ of middle limb segment of hind limb', 'bone organ of middle limb segment of hindlimb', 'bone organ of middle limb segment of inferior member', 'bone organ of middle limb segment of lower extremity', 'bone organ of zeugopod of hind limb', 'bone organ of zeugopod of hindlimb', 'bone organ of zeugopod of inferior member', 'bone organ of zeugopod of leg', 'bone organ of zeugopod of lower extremity', 'hind limb middle limb segment bone', 'hind limb middle limb segment bone organ', 'hind limb zeugopod bone', 'hind limb zeugopod bone organ', 'hindlimb middle limb segment bone', 'hindlimb middle limb segment bone organ', 'hindlimb zeugopod bone', 'hindlimb zeugopod bone organ', 'inferior member middle limb segment bone', 'inferior member middle limb segment bone organ', 'inferior member zeugopod bone', 'inferior member zeugopod bone organ', 'intermediate segment of free lower limb bone', 'intermediate segment of free lower limb bone organ', 'lower extremity middle limb segment bone', 'lower extremity middle limb segment bone organ', 'lower extremity zeugopod bone', 'lower extremity zeugopod bone organ', 'lower leg bone', 'middle limb segment of hind limb bone', 'middle limb segment of hind limb bone organ', 'middle limb segment of hindlimb bone', 'middle limb segment of hindlimb bone organ', 'middle limb segment of inferior member bone', 'middle limb segment of inferior member bone organ', 'middle limb segment of lower extremity bone', 'middle limb segment of lower extremity bone organ', 'zeugopod of hind limb bone', 'zeugopod of hind limb bone organ', 'zeugopod of hindlimb bone', 'zeugopod of hindlimb bone organ', 'zeugopod of inferior member bone', 'zeugopod of inferior member bone organ', 'zeugopod of leg bone', 'zeugopod of leg bone organ', 'zeugopod of lower extremity bone', 'zeugopod of lower extremity bone organ']","","","","","","","","","","","","","","","","","","['inner hind leg']",1,1,9.053512622220158,9.053512622220158,9.053512622220158
"http://purl.obolibrary.org/obo/MP_0031183","['decreased cerebral blood flow rate']","","['reduced rate of blood flow in the blood vessels supplying the cerebral hemispheres']","['reduced cerebral blood flow rate']","","","","","","","","","","","","","","","","","","['blood flow']",1,4,5.547087161970399,5.545975243062913,8.406126553366988
"http://purl.obolibrary.org/obo/PATO_0001668","['associated with']","","[""A structural quality inhering in a bearer by virtue of the bearer's being in close proximity and physically interacting with another entity.""]","['associated']","","","","","","","","","","","","","","","","","","['associate with']",1,1,8.085592755940214,8.085592755940214,8.085592755940214
"http://purl.obolibrary.org/obo/UBERON_0036219","['ungulate coronary band']","","['A region of the pododerm above the hoof where hair growth ends.']","['corium coronae', 'coronary band']","","","","","['coronary band of bovine limb', 'coronary band of equine forelimb', 'coronary band of hoof']","","","","","","","","","","","","","['coronary band']",1,1,8.084143441572323,8.084143441572323,8.084143441572323
