"uri","label","skos_alt_label","skos_pref_label","iao_definition","oio_exact_synonym","oio_narrow_synonym","iao_alternative_term","oio_related_synonym","oio_synonym","rdf_comment","iao_preferred_label","apollo_label","skos_definition","oio_broad_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_elucidation","obo_external_ontology_notes"
"http://purl.obolibrary.org/obo/FOODON_03411456","['pumpkin plant']","","","","['field pumpkin']","","","","","","","","","","['pumpkin']",1,1,20.632373741394687,20.632373741394687,20.632373741394687,"",""
"http://purl.obolibrary.org/obo/CHEBI_50904","['allergen']","","","['A chemical compound, or part thereof, which causes the onset of an allergic reaction by interacting with any of the molecular pathways involved in an allergy.']","","","","['alergeno', 'allergene', 'allergenic agent']","","","","","","","['allergen']",1,1,18.93396605963215,18.93396605963215,18.93396605963215,"",""
"http://purl.obolibrary.org/obo/UO_0000033","['day']","","","['A time unit which is equal to 24 hours.']","","","","","","['""A time unit which is equal to 24 hours."" [Wikipedia:Wikipedia]']","['day']","","","","['day']",1,1,17.734431805936254,17.734431805936254,17.734431805936254,"",""
"http://snomed.info/id/228931002","['Milliliter/kilogram body weight (qualifier value)']","['Milliliter/kilogram body weight', 'Millilitre/kilogram body weight', 'millilitre/kilogram body weight', 'milliliter/kilogram body weight']","['mL/kg body weight']","","","","","","","","","","","","['body weight']",1,1,16.489821212703053,16.489821212703053,16.489821212703053,"",""
"http://purl.obolibrary.org/obo/UO_0000191","['fraction', 'fraction']","","","['A dimensionless ratio unit which relates the part (the numerator) to the whole (the denominator).']","","","","","","['""A dimensionless ratio unit which relates the part (the numerator) to the whole (the denominator)."" [Wikipedia:Wikipedia]']","","['Fraction']","","","['fraction']",1,1,15.171975878468555,15.171975878468555,15.171975878468555,"",""
"http://purl.obolibrary.org/obo/FOODON_00002448","['zucchini food product']","","","['A zucchini food product is a food product deriving from either golden or green zucchini plant cultivars.']","","","","","","","","","","","['zucchini']",1,1,13.215808671721934,13.215808671721934,13.215808671721934,"",""
"http://purl.obolibrary.org/obo/XCO_0000013","['diet']","","","['The food and drink consumed by an organism day to day.']","","","","","","","","","","","['diet']",1,1,12.382167015520992,12.382167015520992,12.382167015520992,"",""
"http://purl.obolibrary.org/obo/FOBI_0101","['Fruity vegetables']","","","","","","","","","","","","","","['zucchini']",1,1,12.360064546948678,12.360064546948678,12.360064546948678,"",""
"http://purl.obolibrary.org/obo/NCBITaxon_1003878","['Cucurbiteae']","","","","","","","","","","","","","","['Cucurbita \xa0 moschataDuchesne', 'cucurbita pepoL']",2,2,4.651581049961013,4.534973346790174,11.166414201137641,"",""
"http://purl.obolibrary.org/obo/NCBITaxon_3650","['Cucurbitaceae']","","","","['cucumber family']","","","","","","","","","","['Cucurbita \xa0 moschataDuchesne', 'cucurbita pepoL']",2,2,4.087658440709724,3.985187376140818,9.812682348536907,"",""
"http://purl.obolibrary.org/obo/PATO_0002016","['magnitude']","","","","","","","","","","","","","","['magnitude']",1,3,7.125843948488095,7.007777073479464,9.743537350953963,"",""
"http://purl.obolibrary.org/obo/PATO_0001189","['adolescent']","","","[""A maturity quality inhering in a bearer by virtue of the bearer's being between the onset of puberty and maturity.""]","","","","","","","","","","","['adolescent']",1,1,9.683858060566273,9.683858060566273,9.683858060566273,"",""
"http://snomed.info/id/28820008","['Amino acid sequence (finding)']","","['Amino acid sequence']","","","","","","","","","","","","['amino acid sequence']",1,1,9.295631828443923,9.295631828443923,9.295631828443923,"",""
"http://purl.obolibrary.org/obo/UO_1000033","['day based unit']","","","","","","","","","","","","","","['day']",1,1,8.867215902968127,8.867215902968127,8.867215902968127,"",""
