"index","title","identifier","issued","source"
17,"Fresh meat packaged under a protective atmosphere with high oxygen content does not constitute a health hazard for the consumer","10.5281/zenodo.582163","2010-08-09T00:00:00Z","http://doi.org/10.5281/zenodo.582163"
18,"Scientific Opinion on the safety and efficacy of<italic>Lactobacillus buchneri</italic>(DSM 22963) as a silage additive for all species","10.2903/j.efsa.2011.2138","2011-04-14T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs22138.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
19,"Scientific Opinion on the substantiation of a health claim related to barley beta‐glucans and lowering of blood cholesterol and reduced risk of (coronary) heart disease pursuant to Article 14 of Regulation (EC) No 1924/2006","10.2903/j.efsa.2011.2471","2011-12-08T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs22471.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
20,"Reasoned opinion on the review of the existing maximum residue levels (MRLs) for propanil according to Article 12 of Regulation (EC) No 396/2005","10.2903/j.efsa.2013.3280","2013-06-26T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs23280.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
21,"Scientific Opinion on the welfare of cattle kept for beef production and the welfare in intensive calf farming systems","10.2903/j.efsa.2012.2669","2012-05-15T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs22669.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
22,"Safety and efficacy of<sc>l</sc>‐valine produced using<italic>Corynebacterium glutamicum </italic><styled-content style=""fixed-case"" toggle=""no"">CGMCC</styled-content>11675 for all animal species","10.2903/j.efsa.2019.5611","2019-03-04T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs25611.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
23,"Scientific Opinion on Flavouring Group Evaluation 73, Revision 3 (FGE.73Rev3): Consideration of alicyclic alcohols, aldehydes, acids and related esters evaluated by JECFA (59<sup>th</sup>and 63<sup>rd</sup>meeting) structurally related to primary saturated or unsaturated alicyclic alcohols, aldehydes, acids and esters evaluated by EFSA in FGE.12Rev4 (2013)","10.2903/j.efsa.2014.3862","2014-10-15T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs23862.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
24,"Modification of the existing maximum residue levels for chlormequat in barley and animal commodities","10.2903/j.efsa.2020.5982","2020-01-22T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs25982.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
25,"Reasoned opinion on the review of the existing maximum residue levels (MRLs) for isoxaflutole according to Article 12 of Regulation (EC) No 396/2005","10.2903/j.efsa.2013.3123","2013-02-25T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs23123.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
26,"A retrospective analysis of the regulatory framework on anti-epizootic activities in bulgaria and its contemporary problems Second part - 2005-2016","10.5281/zenodo.830424","2017-01-01T00:00:00Z","http://doi.org/10.5281/zenodo.830424"
27,"Statement supplementing the evaluation of the environmental risk assessment and risk management recommendations on insect resistant genetically modified maize Bt11 for cultivation","10.2903/j.efsa.2011.2478","2011-12-08T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs22478.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
28,"Assessment of risks to health caused by mercury pollution mushrooms growing in natural conditions","10.5281/zenodo.851983","2014-10-22T00:00:00Z","http://doi.org/10.5281/zenodo.851983"
29,"Scientific opinion of Flavouring Group Evaluation 502 (<styled-content style=""fixed-case"" toggle=""no"">FGE</styled-content>.502): grill flavour ‘Grillin’ 5078’","10.2903/j.efsa.2017.4973","2017-09-08T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs24973.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
30,"Re‐evaluation of propane‐1,2‐diol alginate (E 405) as a food additive","10.2903/j.efsa.2018.5371","2018-07-27T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs25371.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
31,"Safety evaluation of the food enzyme<sc>l</sc>‐ascorbate oxidase from<italic>Cucurbita pepo</italic>L. and<italic>Cucurbita moschata</italic>Duchesne","10.2903/j.efsa.2019.5740","2019-06-14T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs25740.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
32,"Reasoned opinion on the review of the existing maximum residue levels (MRLs) for asulam according to Article 12 of Regulation (EC) No 396/2005","10.2903/j.efsa.2013.3230","2013-05-17T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs23230.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
33,"PRIMo rev 3.1 - Pesticide Residue Intake Model calculator","10.5281/zenodo.2620033","2019-04-01T00:00:00Z","http://doi.org/10.5281/zenodo.2620033"
34,"Reasoned opinion on the modification of the existing maximum residue level (MRL) for picloram in borage and corn gromwell seeds","10.2903/j.efsa.2015.4062","2015-03-31T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs24062.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
35,"Reasoned opinion on the modification of the existing MRLs for trifloxystrobin in spring onions and globe artichokes","10.2903/j.efsa.2012.2873","2012-09-10T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs22873.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
36,"Regional risk assessment of trichinellosis in the Slovak Republic","10.5281/zenodo.1485054","2018-11-13T00:00:00Z","http://doi.org/10.5281/zenodo.1485054"
37,"Advice on the suitability of alternatives for pasteurisation to safeguard microbial food safety of milk","10.5281/zenodo.1475995","2017-12-18T00:00:00Z","http://doi.org/10.5281/zenodo.1475995"
38,"German results from the monitoring of pesticide residues in food","10.5281/zenodo.2592311","2018-07-27T00:00:00Z","http://doi.org/10.5281/zenodo.2592311"
39,"Statement of EFSA on host plants, entry and spread pathways and risk reduction options for<italic>Xylella fastidiosa</italic>Wells et al.","10.2903/j.efsa.2013.3468","2013-11-26T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs23468.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
40,"Scientific Opinion on Flavouring Group Evaluation 74, Revision 3 (FGE.74Rev3): Consideration of Simple Aliphatic Sulphides and Thiols evaluated by the JECFA (53<sup>rd</sup>and 61<sup>st</sup>meeting) Structurally related to Aliphatic and Alicyclic Mono‐, Di‐, Tri‐, and Polysulphides with or without Additional Oxygenated Functional Groups from Chemical Group 20 evaluated by EFSA in FGE.08Rev5 (2012)","10.2903/j.efsa.2014.3710","2014-06-13T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs23710.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
41,"Scientific Opinion on the safety evaluation of the process “Sky‐Light MPR”, used to recycle post‐consumer PET into food contact materials","10.2903/j.efsa.2013.3450","2013-11-15T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs23450.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
42,"Scientific Opinion on Flavouring Group Evaluation 208 (FGE.208): Consideration of genotoxicity data on representatives for 10 alicyclic aldehydes with the α,β‐unsaturation in ring / side‐chain and precursors from chemical subgroup 2.2 of FGE.19 by EFSA","10.2903/j.efsa.2013.3151","2013-04-08T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs23151.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
43,"Safety of benzophenone to be used as flavouring","10.2903/j.efsa.2017.5013","2017-11-14T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs25013.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
44,"Safety and efficacy of Monimax<sup>®</sup>(monensin sodium and nicarbazin) for turkeys for fattening","10.2903/j.efsa.2017.5094","2017-12-22T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs25094.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
45,"Review of the existing maximum residue levels for fenpyroximate according to Article 12 of Regulation (EC) No 396/2005","10.2903/j.efsa.2016.4382","2016-03-21T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs24382.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
46,"Information sheet 2.08 Surveillance","10.5281/zenodo.1311185","2018-07-31T00:00:00Z","http://doi.org/10.5281/zenodo.1311185"
47,"Bacillus cereus bacteria in foodstuffs may cause gastrointestinal diseases","https://zenodo.org/record/4288576","2020-10-30T00:00:00Z","http://doi.org/https://zenodo.org/record/4288576"
48,"Statement on the request for a modification of the specification on solubility of the food additive polyvinyl alcohol (E 1203) in ethanol and its possible impact on the safety assessment","10.2903/j.efsa.2014.3820","2014-09-11T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs23820.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
49,"Reasoned opinion on the review of the existing maximum residue levels (MRLs) for propargite according to Article 12 of Regulation (EC) No 396/2005","10.2903/j.efsa.2013.3350","2013-08-22T00:00:00Z","https://prodstoragev2lrs.file.core.windows.net/efsa-journal-repository/pdf/efs23350.pdf?sv=2018-03-28&ss=f&srt=sco&sp=r&se=2029-02-28T19:09:50Z&st=2019-02-28T11:09:50Z&spr=https&sig=qZlTTfPNvLM8djetd0wk8MJov8ffsrxtrBYimFG1tok%3D"
