"uri","chebi_formula","iao_definition","oio_exact_synonym","oio_related_synonym","label","skos_alt_label","skos_definition","skos_pref_label","iao_preferred_label","rdf_comment","oio_narrow_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_broad_synonym"
"http://purl.obolibrary.org/obo/CHEBI_132272","","['A compound used with herbicides that reduces the effect of the herbicide on crop plants or otherwise improves the selectivity of the herbicide for weed species over the crop plant.']","","['herbicide safeners']","['herbicide safener']","","","","","","","['herbicide']",1,1,5.153158938118933,5.153158938118933,5.153158938118933,""
"http://purl.obolibrary.org/obo/NCBITaxon_192043","","","","['Phacelophrynium maximum']","['Phrynium maximum']","","","","","","","['maximum']",1,1,4.829036935975558,4.829036935975558,4.829036935975558,""
"http://purl.obolibrary.org/obo/DOID_0111861","","['A syndrome characterized by early-onset aortic aneurysm and dissection in hemizygous males and variable presentation from unaffected to fatal aortic dissection in heterozygous females, as well as facial dysmorphism, connective tissue anomalies, and features of Loeys-Dietz syndrome that has_material_basis_in mutation in BGN on chromosome Xq28.']","['MRLS']","","['Meester-Loeys syndrome']","","","","","","","['mrl']",1,3,2.95998803228853,2.959981030487913,4.115525569130919,""
"http://snomed.info/id/900000000000550004","","","","","['Definition (core metadata concept)']","","","['Definition']","","","","['definition']",1,1,4.092813409968292,4.092813409968292,4.092813409968292,""
"http://purl.obolibrary.org/obo/CHEBI_25134","['C3H2O2']","","['malonyl', 'propanedioyl']","['-CO-CH2-CO-']","['malonyl group']","","","","","","","['asulam malonyl']",1,1,3.837670083438493,3.837670083438493,3.837670083438493,""
"http://snomed.info/id/71412006","","","","","['Tolerance, function (observable entity)']","['Tolerance, function']","","['Tolerance']","","","","['tolerance']",1,1,2.969691598148528,2.969691598148528,2.969691598148528,""
"http://purl.obolibrary.org/obo/CHMO_0010024","","","","","['risk assessment']","","","","","","","['consumer risk assessment']",1,1,2.745648684891995,2.745648684891995,2.745648684891995,""
"http://purl.obolibrary.org/obo/HANCESTRO_0004","","['population category defined using ancestry informative markers (AIMs) based on genetic/genomic data']","['ancestral group']","","['ancestry category']","","","","","","","['european']",1,1,2.621294839594849,2.621294839594849,2.621294839594849,""
"http://purl.obolibrary.org/obo/FOODON_03400361","","['A food product type is a class of food products that is differentiated by its food composition, processing and/or consumption characteristics. This does not include brand name products but it may include generic food dish categories.', 'An agency food product type is a class of food product defined by an agency or consortium.']","","","['agency food product type', 'food product type']","","","","","['LanguaL curation note: This term is for CLASSIFICATION ONLY; DO NOT USE term in indexing. Use a more precise narrower term.', ""This class is designed to hold 3rd party food classification schemes which are being mapped to FoodOn classes using the 'has member' relation. The two hierarchies are not melded into a subclass polyhierarchy because of possible logical inconsistencies in the agency schemes. The hierarchies of agency schemes are as true to their agency representation as possible.""]","","['European Union']",1,1,2.535265861946356,2.535265861946356,2.535265861946356,""
"http://purl.obolibrary.org/obo/FOODON_03401895","","['FoodEx2 is a comprehensive food classification and description system aimed at covering the need to describe food in data collections across different food safety domains. After its first release in 2011, the system was broadly tested in various practical situations, allowing its evaluation and the identification of areas for improvement.\n\nThe present version in LanguaL is based on the FoodEx2 version Matrix 9.0 dated 2018-01-26 (downloaded 2018-02-07) and comprises the FoodEx2 Exposure Hierarchy. The FoodEx2 browser and FoodEx2 catalogue are available at GitHub: https://github.com/openefsa/catalogue-browser/wiki\n\n\n\nFor further information, see the Data Standardisation pages of the European Food Safety Authority website [https://www.efsa.europa.eu/en/data/data-standardisation].\n\n\n\n\n\nThe implementation of EFSA FoodEx2 facet term codes (FTC) in LanguaL follow closely the EFSA FoodEx2 codes; this means that the LanguaL facet term codes for all FoodEx2 descriptors are identical to the original EFSA FoodEx2 codes.\n\n\n\nEFSA FoodEx2 is top-down prioritised, meaning that descriptors physically higher in the hierarchy within the same level are preferred to descriptors further down, whereas LanguaL in general does not have a preferred order. In the implementation of EFSA FoodEx2 it has therefore been necessary to implement a forced order of the descriptors by preceeding the original FoodEx2 descriptor names by a numeric serialisation indicator (an order number).']","","","['efsa food classification and description system for exposure assessment (efsa foodex2)']","","","","","['LanguaL curation note: This term is for CLASSIFICATION ONLY; DO NOT USE term in indexing. Use a more precise narrower term.']","","['EFSA', 'European Food Safety Authority']",2,3,1.7680642878538657,0.8474472415197297,2.356562934046246,""
"http://purl.obolibrary.org/obo/CHEBI_33247","","['Any substituent group or skeleton containing carbon.']","","['organic groups']","['organic group']","","","","","","","['residue']",1,2,2.2139270538866875,1.7292138155017844,2.128911928433869,""
"http://purl.obolibrary.org/obo/GO_0001508","","['A process in which membrane potential cycles through a depolarizing spike, triggered in response to depolarization above some threshold, followed by repolarization. This cycle is driven by the flow of ions through various voltage gated channels with different thresholds and ion specificities.']","","","['action potential']","","","","['action potential']","['Action potentials typically propagate across excitable membranes. This class covers both action potentials that propagate and those that fail to do so.']","","['potential']",1,1,1.9141672573673003,1.9141672573673003,1.9141672573673003,""
