keyword,count
amino acids and their salts and analogues,21
vkm,21
acceptable daily intake,21
herbicide tolerant,21
dairy cows,21
polychlorinated biphenyls,20
parasites,20
alpha,20
fatigue,20
foodstuffs,20
rice,20
Listeria,20
animals,20
Sensory additives,20
potentially pathogenic microorganisms,20
metabolism,20
Europe,20
geographical risk assessment,20
feed additives,20
transmission,20
colourant,20
vaccination,19
food packaging,19
triazole derivative metabolites,19
Greece,19
food consumption,19
vitamins,19
liver,19
data analysis,19
regulated non‐quarantine pest,19
nervous system,19
blood glucose,19
microbiological risks,19
potatoes,19
risk reduction,19
indicator bacteria,19
cognitive function,19
data model,19
AECOSAN,19
tomatoes,19
Additives,19
goats,19
import tolerance,19
α‐amylase,19
wild boar,18
consumption,18
Bisphenol A,18
Bt11,18
food chains,18
Enzyme,18
benzoic acid,18
model,18
fatty acids,18
phytase,18
safeguard clause,18
assessment,18
humans,18
sensory additive,18
potato,18
yeasts,18
rabies,18
protocol,18
α,18
Trichoderma reesei,18
teeth,18
modelling,18
4‐β‐xylanase,18
FoodEx2,18
oilseed rape,18
captive birds,18
Emerging risks,18
Meat inspection,18
guidelines,17
vitamin E,17
weaned piglets,17
novel foods,17
iodine,17
EFSA,17
food colours,17
Data Collection Framework,17
probiotic,17
Primary Product,17
novel food ingredient,17
docosahexaenoic acid,17
monensin sodium,17
pathogen,17
processing aids,17
active substance,17
Directive 90/220/EEC,17
ducks,17
SSD2,17
prevention,17
CP4 EPSPS,17
soil,17
forest pathology,17
sampling,17
Coccidiostat,17
pollution,17
triazole,17
Bacillus licheniformis,17
margin of exposure (MOE),16
Bacillus subtilis,16
MRLs,16
PFAS,16
intake,16
ketones,16
EU,16
ruminants,16
minerals,16
reporting,16
diclazuril,16
raw milk,16
grapes,16
chickens reared for laying,16
mercury,16
Smoke flavouring,16
eicosapentaenoic acid,16
bioavailability,16
NK603,16
Regulation (EC) 1829/2003,16
growth,16
shellfish,16
DHA,16
citrus,16
food‐borne outbreaks,16
carboxylic acids,16
strobilurin fungicide,16
models,16
disease,16
antioxidant,16
tea,16
pest categorisation,16
virus,16
gastro‐intestinal discomfort,15
broiler chickens,15
feed contamination,15
glucanase,15
apricots,15
citrus fruits,15
plant condition,15
Food safety,15
Echinococcus multilocularis,15
triazole derivative metabolites (TDMs),15
bactericide,15
Allergenicity,15
QMRA,15
coronary heart disease,15
outbreaks,15
target animal safety,15
prion diseases,15
EC3.2.1.1,15
harmonisation,15
nails,15
compatibility,15
micro‐organism,15
Animal By‐Products,15
aluminium,15
tuberculosis,15
Estonia,15
Starlinger Decon,15
listeriosis,15
EPA,15
Norovirus,15
microorganisms,15
spinach,15
adverse effects,15
carcinogens,15
niacin,15
salmonellosis,14
scientific requirements,14
post‐prandial glycaemic responses,14
aromatic,14
extensive literature search,14
bisphenol A,14
acrylamide,14
vitamin C,14
indicators,14
tiredness,14
source attribution,14
meat inspection,14
hormones,14
Risk Assessment,14
Zea mays,14
endocrine-disrupting chemicals,14
fruits,14
methodology,14
Yersinia,14
Xylella fastidiosa,14
transgenic plants,14
stakeholders,14
carcinogenicity,14
Chemical,14
polyunsaturated fatty acids,14
brucellosis,14
Member States,14
microbiological criteria,14
African swine fever,14
health hazards,14
peaches,14
AESAN,14
food colour,14
network,14
enterohaemorrhagic Escherichia coli,14
tree health,14
development,14
Health claims,14
aspartame,14
satiety,14
introduction,14
small ruminants,14
analytical methods,14
Hungary,14
Average Requirement,14
tolerance test,13
veterinary medicinal products,13
primary alcohols,13
aubergines,13
France,13
magnesium,13
classical,13
sulfonylurea,13
animal nutrition,13
infant foods,13
vitamins and pro‐vitamins,13
drinking water,13
neonicotinoid,13
toxoplasmosis,13
HPAI,13
muscle,13
case‐specific monitoring,13
blood lipids,13
riboflavin,13
allergenicity,13
arachidonic acid,13
broiler,13
mammals,13
general surveillance,13
oilseeds,13
simulation,13
national residue control plan,13
arsenic,13
MRSA,13
trichinosis,13
echinococcosis,13
honey bees,13
Enterohaemorrhagic Escherichia coli,13
genetically modified micro‐organism,13
4‐beta‐xylanase,13
environmental assessment,13
branched‐chain,13
cherries,13
Portugal,13
wild boars,13
MIR604,13
food allergies,13
active and intelligent materials,13
scientific committees,13
soybean,13
hops,13
antibiotic residues,12
3‐phytase,12
additives,12
nickel,12
impacts,12
physical performance,12
acetals,12
protein content,12
barometer,12
triglycerides,12
soybean (Glycine max),12
adolescents,12
phytosterols,12
pyrrolizidine alkaloids,12
proanthocyanidins,12
Risk reduction option,12
plums,12
narasin,12
probabilistic modelling,12
hazards,12
lumpy skin disease,12
Risk assessment,12
salt,12
food‐borne outbreak,12
acute reference dose,12
Zootechnical additives,12
gamma‐linolenic acid,12
carnation,12
health outcomes,12
Cry1F,12
EC3.2.1.8,12
inflammation,12
Aspergillus niger,12
63rd meeting,12
Antimicrobial resistance,12
nutrient source,12
campylobacteriosis,12
nutrients,12
extended spectrum beta-lactamases,12
http://browser.agrisemantics.org/gacs/en/page/C1470,12
hygiene,12
control programmes,12
quantitative analysis,12
migration,12
data,12
insects,12
protection goals,12
MON810,12
broccoli,12
pork,11
salmonids,11
management,11
melamine,11
Curculionidae,11
data  collection,11
annual report,11
fish oil,11
pyridine,11
coffee,11
wheat,11
worker safety,11
intoxication,11
biosecurity,11
HPAI/LPAI,11
resistance,11
foodstuff,11
attention,11
potential harmful organism,11
alternative methods,11
human exposure,11
Lactobacillus rhamnosus,11
anticoccidial efficacy,11
Food,11
extension of use,11
cross‐contamination,11
Standard  Sample  Description,11
food and feed uses,11
Contaminants,11
vectors,11
meeting,11
killing,11
Active and intelligent materials,11
Denmark,11
65th meeting,11
transparency,11
substances which favourably affect the environment,11
veterinary  medicinal  products,11
clothianidin,11
probiotics,11
chemical contaminants,11
planning,11
Poly(ethylene terephthalate) (PET),11
herbs,11
horses,11
energy drinks,11
health risks,11
labelling,11
veterinary drugs,11
dietary intake,11
coeliac disease,11
EFSA Comprehensive European Food Consumption Database,11
SSD,11
chicken,11
chronic,11
cheese,11
GA21,11
fluoride,11
feed flavourings,11
drug residues,11
environmental fate,11
VTEC,11
Monomers,11
animal‐based measures,11
Marine biotoxins,11
Lithuania,11
food colouring substance,11
anticoccidial,11
fosetyl,10
allergens,10
methods of analysis,10
surveys,10
GM plants,10
bone mineral density,10
acids,10
JECFA 68th meeting,10
Luxembourg,10
risk ranking,10
adults,10
bentonite,10
Chemicals,10
biocides,10
Latvia,10
Romania,10
Pediococcus acidilactici,10
emulsifier,10
thiamethoxam,10
trend analysis,10
Aspergillus oryzae,10
neonicotinoids,10
glufosinate,10
trace element,10
fungicides,10
vaccine,10
rabbits,10
61st meeting,10
Bacillus licheniformis,10
ornamental fish,10
atypical,10
bluetongue,10
risk communication,10
banana,10
genetic selection,10
anticaking agent,10
protein,10
Directive 91/414/EEC,10
infant formulae,10
Data Collection,10
benchmark dose,10
Articles 11 and 23,10
food and feed,10
Corynebacterium glutamicum,10
nicarbazin,10
carbamate,10
cucumbers,10
Vitamin D,10
plant sterols,10
ionophore,10
lipids,10
upper respiratory tract,10
population,10
minor avian species,10
4‐α‐d‐glucan glucanohydrolase,10
cell division,10
barley,10
insect resistant,10
Fish,10
vitamin A,10
enterovirulent Escherichia coli group,10
folic acid,10
pests,10
applications,10
acrylamides,10
Bacillus amyloliquefaciens,10
transport,10
Starlinger deCON,10
proteins,10
biological hazards,10
welfare indicators,10
imidacloprid,10
"1,4‐α‐d‐glucan glucanohydrolase",10
other substances,10
DNA,9
JECFA 59th meeting,9
infant formula,9
Yersinia enterocolitica,9
turkey,9
tolerable daily intake (TDI),9
insect protection,9
mushrooms,9
formic acid,9
pantothenic acid,9
abamectin,9
Exposure assessment,9
Cry3Bb1,9
food contact material,9
coumarin,9
benzoic acids,9
Data,9
bananas,9
blueberries,9
sweetener,9
Regulation (EC) 258/97,9
leek,9
muscle function,9
research,9
vitamin B2,9
enzyme preparations,9
Residues,9
Opinion of the Scientific Panel on food additives,9
pyraclostrobin,9
fluopicolide,9
propamocarb hydrochloride,9
ecotoxicology,9
food description,9
livestock,9
mathematical model,9
flonicamid,9
food classification,9
secondary alcohols,9
nanomaterials,9
Docosahexaenoic acid,9
astaxanthin,9
TTC,9
BMD,9
glycoalkaloids,9
zoonotic agent,9
review,9
operator,9
fipronil,9
cotton,9
causative agent,9
stack,9
metabolites,9
plastics,9
Transmission,9
baby foods,9
gmo,9
pig,9
broilers,9
rodenticide,9
cosmetics,9
Country Profiles,9
prioritisation,9
toxicological evaluation,9
recycling,9
enzymes,9
STEC,9
apples,9
portion size,9
pharmacokinetics,9
binder,9
phosphorus,9
Slovenia,9
Malta,9
cholecalciferol,9
selenomethionine,9
berries,9
vector,9
slaughterhouse,9
methylmercury,9
weight loss,9
l‐tryptophan,9
freedom from disease,9
common salt,9
production,9
Classical scrapie,9
Bacillus cereus,9
vitamin B12,9
trifloxystrobin,9
contamination,9
soil organisms,8
antimicrobial,8
acidity regulator,8
seeds,8
cauliflower,8
goat,8
glucan 1,8
Monte Carlo method,8
food intake,8
food vehicle,8
Food Contaminants,8
beta‐Unsaturated ketones,8
phytosanitary,8
Epidemiology,8
opinion,8
Feed Contaminants,8
peppers,8
farming systems,8
control options,8
sodium salt,8
Straight‐chain,8
tooth mineralisation,8
pyrrole,8
acute,8
Coxiella burnetii,8
PAT protein,8
process,8
bifenthrin,8
LPAI,8
essential oil,8
zoonosis,8
Avian Influenza,8
allergy,8
Iceland,8
aflatoxins,8
L‐threonine,8
quinoline,8
animal welfare consequences,8
mixtures,8
flavouring compounds,8
lactic acid,8
nucleotide sequence,8
environmental impact,8
Bovine Spongiform Encephalopathy,8
aflatoxin,8
sodium chloride,8
Population Reference Intake,8
raspberries,8
cranberries,8
ecosystem services,8
Lactobacillus buchneri,8
nonlinear models,8
human,8
methicillin-resistant Staphylococcus aureus,8
Influenza A virus,8
oranges,8
absence of infection,8
reporting system,8
mineral waters,8
Komagataella phaffii,8
Acetamiprid,8
cumulative exposure assessment,8
oilseed rape (Brassica napus),8
carrots,8
melons,8
housing,8
characterisation,8
retinol,8
Lycopene,8
fluopyram,8
GT73,8
brain development,8
MON 863,8
hazard identification,8
pregnancy,8
Data Analysis,8
Escherichia coli O104,8
sample size,8
residue definitions,8
decontamination,8
maize (Zea mays),8
prion,8
methods,8
diagnosis,8
VMPR,8
swine fever,8
data models,8
perchlorate,8
formaldehyde,8
thiophene,8
regulated products,8
food‐borne diseases,8
effectiveness,8
PFOA,8
mode of action,8
Calsporin®,8
strength of evidence,8
allergies,8
thyroid,8
sulphides,8
Dimethomorph,8
thiols,8
refined,8
stochastic models,8
fludioxonil,8
Lutein,8
cucurbits,8
alkaloids,8
husbandry,8
Data transmission,8
L‐tryptophan,7
biomarkers,7
Glucose,7
vitamin B6,7
aquaculture,7
calculation,7
alpha‐amylase,7
hens,7
biotin,7
bleached,7
lamb's lettuce,7
LDL cholesterol,7
rabbit,7
thyroid function,7
sensitivity,7
birds,7
Risk,7
Bonvital,7
cassia gum,7
soybeans,7
emergency measure,7
Schmallenberg virus (SBV),7
Fusarium,7
minor species,7
persistence,7
sodium,7
linseed,7
rye,7
cattle for fattening,7
bivalve molluscs,7
Guidance,7
Difenoconazole,7
tolerable upper intake level,7
Pyraclostrobin,7
bees,7
Dianthus caryophyllus,7
biology,7
outcome,7
3(4)‐beta‐glucanase,7
mandipropamid,7
Atypical scrapie,7
experimental design,7
TDI,7
Crisis Manual,7
nicotine,7
oats,7
Thiacloprid,7
sprouts,7
lactones,7
minor poultry species,7
l‐threonine,7
Czechia,7
benzaldehydes,7
DCF,7
consumers,7
epidemiological indicators,7
preventive/corrective measures,7
hazard characterisation,7
homocysteine,7
standard sample description,7
welfare assessment,7
fresh herbs,7
time,7
chromium,7
Cry1Ac,7
Nanotechnology,7
trans fatty acids,7
feeding,7
cyantraniliprole,7
haloxyfop‐P,7
krill oil,7
neutralised,7
stabiliser,7
Bifidobacterium longum,7
herbal infusions,7
spices,7
molybdenum,7
onions,7
2mEPSPS,7
validation,7
bioaccumulation,7
energy intake,7
Solanum tuberosum,7
primary production,7
algae,7
dietary exposure assessment,7
heart,7
intestinal flora,7
Coccidiostats,7
nicotinic acid,7
cumulative risk assessment,7
dental plaque,7
groundwater,7
table and wine grapes,7
strobilurins,7
diet,7
Pediococcus pentosaceus,7
aflatoxin B1,7
weight management,7
globe artichokes,7
mathematical models,7
Apis mellifera,7
dietary reference value,7
omethoate,7
spirotetramat,7
crisis preparedness,7
elicitor,7
scientific assessment,7
rape seed,7
animal commodities,7
potassium,7
http://id.agrisemantics.org/gacs/,7
chloroacetanilide,7
worker,7
garlic,7
taurine,7
metabolite,7
statistical analysis,7
disinfection,7
cancer,7
pyrethroid,7
chelate,7
tebuconazole,7
wildlife,7
Rift Valley Fever,7
compound of trace elements,7
infection,7
Feed,7
risk analysis,7
almanac,7
apricot,7
cardiac function,7
biological hazard,7
exercise,7
Chlorantraniliprole,7
sea transport,7
fibre,7
tolerable daily intake,7
surface water,7
deterministic models,7
Decontamination,7
Musa spp.,7
psychological functions,7
water,7
recommendation,7
absorption,7
salinomycin sodium,7
consciousness,7
standardization,7
cyazofamid,7
toxicokinetics,7
acyclic,7
existing product,7
aliphatic amines,7
4‐β‐d‐xylan xylanohydrolase,7
literature review,7
norovirus,7
storage,7
alcohol,7
FGE.09,7
Iron,7
blackberries,7
dermal absorption,7
QRA,7
soft drinks,7
safety and efficacy,7
Glucosamine,7
food‐borne pathogens,7
metalaxyl,7
Annex II and III,7
Bacillus,7
heavy metals,7
heat treatment,7
outbreak,7
Food additives,7
acute reference dose (ARfD),7
lysine monohydrochloride,7
concentration,7
N,7
olives,7
endurance capacity,7
calves,7
cucurbits with edible peel,6
herbicide-tolerance,6
captan,6
poisoning,6
thiacloprid,6
Escherichia coli,6
mepiquat,6
carvacrol,6
triacylglycerol lipase,6
vector-borne diseases,6
Tetraselmis chuii,6
Plant stanols,6
sodium propionate,6
interoperability,6
tomato,6
bee,6
PCDD/Fs,6
"endo‐1,4‐β‐xylanase",6
CWD,6
chlorantraniliprole,6
dietary risk assessment,6
HDL‐cholesterol,6
UV‐induced damage,6
glucose,6
cranberry,6
energy metabolism,6
pat gene,6
follow‐on formula,6
Pseudomonas fluorescens,6
collagen,6
PMEM,6
mapping tool,6
prothioconazole,6
hydrocarbons,6
scientific committee,6
insulin sensitivity,6
microbiological risk assessment,6
R,6
tertiary alcohols,6
bystander,6
MIR162,6
data requirement,6
chlormequat,6
polycyclic aromatic hydrocarbons,6
substances,6
Cry2Ab2,6
prioritization,6
Cylactin®,6
chemistry,6
uncertainty analysis,6
model validation,6
pears,6
fluorides,6
Animal Health,6
nutrient sources,6
potassium phosphonates,6
quantitative risk assessment,6
capripoxvirus,6
histamine,6
decoquinate,6
memory,6
beta‐Unsaturated aldehydes,6
benzyl alcohols,6
ducks for fattening,6
dioxin,6
polysulphides,6
Trichinella,6
beef,6
fermented milk,6
exposure scenarios,6
Brussels sprouts,6
data reporting,6
mood,6
red blood cells,6
Bursaphelenchus xylophilus,6
scarole,6
59122,6
invasive alien species,6
cotton seed,6
Crisis preparedness,6
flutriafol,6
target species,6
appetite,6
furan,6
mortality,6
sodium benzoate,6
A(H5N1),6
carcinogenic,6
regulation (ec) no 1829/2003,6
deoxynivalenol,6
equivalence,6
monosulphides,6
59th meeting,6
cyprodinil,6
QSAR,6
NptII,6
insect-resistance,6
"α,β‐unsaturated carbonyls and precursors",6
pre‐slaughter,6
diseases,6
EH92‐527‐1,6
endurance performance,6
poly(ethylene terephthalate)(PET),6
emerging issues,6
modified forms,6
pasteurization,6
problem formulation,6
L‐valine,6
terbuthylazine,6
trade,6
zea mays l.,6
Poly(ethylene terephthalate) PET,6
phosphonic acid,6
Bacillus velezensis,6
green tea,6
pest distribution,6
docosahexaenoic acid (DHA),6
aromatic ketones,6
phthalimide,6
carotenoids,6
glasshouse,6
Animal population,6
Pesticide,6
prions,6
chlorpyrifos,6
Tebuconazole,6
infectious diseases,6
kale,6
guidance document,6
Wine,6
Starlinger IV+,6
trisulphides,6
ametoctradin,6
Exposure,6
3(4)‐β‐glucanase,6
herbicides,6
Spirotetramat,6
foodborne,6
in vitro,6
risk management,6
dietary risk assessment model,6
secondary alicyclic,6
poppy seed,6
pulses,6
Lactobacillus casei,6
animal feed,6
read‐across,6
polyphenols,6
human dietary exposure,6
petal colour,6
risk perception,6
Food Samples,6
non‐target organisms,6
robenidine hydrochloride,6
insect‐resistant,6
4‐beta‐glucanase,6
herbal teas,6
Boron,6
genetically modified,6
radishes,6
biological relevance,6
ascorbic acid,6
casein,6
terminology,6
animal population,6
phthalates,6
origin,6
reproduction,6
fumigant,6
hepatitis A virus,6
Coxiril®,6
margin of exposure,6
methodologies,6
mitigation options,6
Poultry,6
molluscicide,6
PFOS,6
artificial sweeteners,6
FGE.07,6
disulphides,6
disease transmission,6
ready-to-eat foods,6
delphinidin,6
sucralose,6
Brassica napus,6
Fludioxonil,6
vitamin D3,6
propamocarb,6
intestinal transit time,6
beans with pods,6
expertise,6
morphine,6
whole genome sequencing,6
Scientific Cooperation,6
difenoconazole,6
norwegian food safety authority,6
milk products,6
aliphatic amides,6
hepatotoxicity,6
nitrates,6
VevoVitall®,6
LDL,6
mineralisation,6
rat,6
food of animal origin,6
TSEs,6
Flavouring,6
folate,6
Quantitative Risk Assessment,6
celery,6
kidney,6
Starlinger Decon technology,6
glycaemic response,6
pine wood nematode,6
animal-based foods,6
chewing gum,6
neurological function,6
food/feed safety,6
fluazifop‐P,6
FGE.21,6
rainbow trout,6
species selection,6
lambda‐cyhalothrin,6
glycoalkaloids (GAs),6
determination,6
GOS,6
mycotoxin binder,6
Allura Red AC,6
urinary tract,6
Toxoplasma,6
phytosanitary situation,6
Biosprint®,6
bifenazate,5
metazachlor,5
botanicals,5
cut flower,5
sunflower seeds,5
thickener,5
Schmallenberg virus,5
identification,5
chlorothalonil,5
Phyllosticta citricarpa,5
nanomaterial,5
methanol,5
E. coli,5
bromoxynil,5
packaging materials migration,5
olive,5
recovery,5
Food additive,5
genotoxic,5
dossier,5
citrus black spot,5
Pantoea ananatis,5
pendimethalin,5
Apidae,5
intense sweetener,5
food categories,5
Calcium,5
quinolizidine alkaloids,5
risk profile,5
dithiazine derivatives,5
geese,5
Modelling,5
boscalid,5
statistical models,5
PET,5
acibenzolar‐S‐methyl,5
trout,5
ethephon,5
pest management,5
salmonella,5
sugar‐free,5
dietary requirements,5
celeriac,5
radish,5
young children,5
vitamin B1,5
degradation,5
Furan,5
fining agents,5
Lactoral,5
Chinese cabbage,5
Ponceau 4R,5
fishery products,5
prothioconazole‐desthio,5
decision tree,5
food fortification,5
Caralluma fimbriata,5
probabilistic,5
Lactobacillus plantarum,5
soil fumigant,5
Occurrence,5
Bombus,5
omega-3 fatty acids,5
cp4 epsps,5
gluten,5
nitrate,5
salmon,5
Feed additives,5
open data,5
Lactobacillus parafarraginis,5
green leafy vegetables,5
food industry,5
pollen,5
straight chain,5
Polypropylene (PP),5
disease control,5
genetically modified organism,5
Cry35Ab1,5
imazalil,5
Biosprint,5
strain,5
Bluetongue,5
systematic reviews,5
animal feeds,5
human milk,5
Azoxystrobin,5
farm animals,5
health effects assessments,5
poultry carcasses,5
gastrointestinal tract,5
establishment,5
Surveillance,5
hazard assessment,5
literature search,5
energy,5
Solanaceae,5
citrus fruit,5
nivalenol,5
Zoonosis,5
acetamiprid,5
bonsai,5
bones,5
E 951,5
mepanipyrim,5
cross contamination,5
Clostridium butyricum,5
furans,5
lycopene,5
sprouts (food),5
adverse health effect,5
chemical occurrence data,5
consumer exposure,5
fennel,5
citrus canker,5
amphibians,5
biodiversity,5
design prevalence,5
Regulation (EC) No 258/97,5
food groups,5
sugar beet,5
morpholine fungicide,5
chlorpyrifos‐methyl,5
peas,5
immune,5
dioxin-like polychlorinated biphenyls,5
ethers,5
ready‐to‐eat foods,5
data extraction,5
citric acid,5
isoflavones,5
Switzerland,5
animal diseases,5
age groups,5
baseline survey,5
sulfoxaflor,5
acequinocyl,5
Pig,5
maltogenic amylase,5
risks,5
BPA,5
thiophene derivatives,5
resident,5
emerging risks,5
related esters,5
Dietary Reference Values (DRVs),5
sorbic acid,5
carboxamide fungicide,5
Alicyclic,5
soybean (Glycine max),5
Cry34Ab1,5
beverages,5
microbiota,5
cats and dogs,5
Bimuno®,5
reports,5
consumer,5
amylase,5
campylobacter,5
microorganism,5
articles 11 and 23,5
lactase,5
diabetes,5
statistics,5
Article 4(7) of Regulation (EC) No 1107/2009,5
visual development,5
http://browser.agrisemantics.org/gacs/en/page/C29232,5
nitrite,5
FOCUS,5
http://browser.agrisemantics.org/gacs/en/page/C3009,5
expert knowledge elicitation,5
fertility,5
Harmonisation,5
dinitroaniline,5
authorisation,5
glycaemic carbohydrates,5
biological control,5
pome fruits,5
lasalocid sodium,5
Slimaluma®,5
nutrition and feeding,5
Fish gelatine,5
bixafen,5
temperature,5
criteria,5
product safety,5
recommendations,5
Maximum Residue Levels,5
cinnamon,5
nanoparticles,5
metadata,5
cyflufenamid,5
Maize,5
nanotechnology,5
fenhexamid,5
gooseberries,5
pome fruit,5
directive 2001/18,5
distillates,5
acetic acid,5
phenylamide,5
Réunion,5
minor porcine species,5
consumer products,5
pyriproxyfen,5
efsa,5
canthaxanthin,5
standardisation,5
selenium‐enriched yeast,5
organic fertilizers,5
insecticides,5
Coxidin®,5
health‐based guidance value,5
tiered approach,5
choline,5
laying hen,5
Thiamethoxam,5
formetanate,5
bee study protocol,5
Consumer risk assessment,5
information exchange,5
crustaceans,5
database,5
Isopyrazam,5
IUCLID,5
Plant health,5
HDL,5
Parageobacillus thermoglucosidasius,5
thiazoline derivatives,5
Chewing gum,5
mechanistic models,5
genetically modified foods,5
Ms8 × Rf3,5
level of protection,5
covered crop,5
potassium sorbate,5
antioxidants,5
Hepatitis A virus,5
maintenance,5
cycloxydim,5
farmer questionnaires,5
metalaxyl‐M,5
Culicoides,5
Dimethoate,5
environmental receptor,5
β‐unsaturated ketones,5
mastitis,5
eugenol,5
revision,5
pollutants,5
health effects,5
calcium absorption,5
titanium dioxide,5
deodorised,5
epidemics,5
flumioxazin,5
pymetrozine,5
accumulation,5
flubendiamide,5
parsley,5
cyanide,5
glucoamylase,5
death,5
gelatine,5
Aspergillus niger,5
nutrient,5
bovine tuberculosis,5
broiler breeders,5
leeks,5
stacked events,5
fenpyrazamine,5
ergot alkaloids,5
mustard seed,5
