"CUI","count","name"
"C0686907",319,"Consequence of"
"C0002092",315,"Allergens"
"C1524031",312,"Minimum"
"C0445623",311,"Microorganism"
"C0227085",309,"Deciduous maxillary right central incisor tooth"
"C0441994",308,"Lower - spatial qualifier"
"C1709964",307,"Risk Manager"
"C0205284",307,"Marginal"
"C0013710",307,"Egg Food Product"
"C1708476",306,"Implementation"
"C0017262",306,"Gene Expression"
"C1274040",305,"Result"
"C0443252",305,"Long-term"
"C0184661",300,"Interventional procedure"
"C0282411",300,"Published Comment"
"C0449381",298,"Observation parameter"
"C0220806",298,"Chemicals"
"C0009450",298,"Communicable Diseases"
"C0337174",298,"Storage area"
"C0007952",297,"Personality Character"
"C0332268",296,"Lacking"
"C0486616",296,"Composition"
"C0231448",296,"Extension"
"C0033105",295,"Statistical Prevalence"
"C1707455",295,"Comparison"
"C0025519",294,"Metabolism"
"C0009818",292,"Consultation"
"C1261322",287,"Evaluation procedure"
"C0006159",285,"Breeding"
"C0013593",285,"Ecuador"
"C0042440",284,"Vegetables"
"C0031268",284,"Pet Animal"
"C1521739",282,"Nutritional"
"C0025344",281,"Menstruation"
"C0034386",280,"Quarantine"
"C0002778",280,"Analysis of substances"
"C1622979",279,"Egg Laying"
"C0001175",275,"Acquired Immunodeficiency Syndrome"
"C0205412",275,"Inadequate (qualifier)"
"C1704259",274,"Biochemical Pathway"
"C0559546",272,"Adverse reactions"
"C0577620",271,"Nut Hypersensitivity"
"C0004611",270,"Bacteria"
"C4277552",269,"Moral Status"
"C0242356",269,"Databases"
"C0259846",268,"adulteration"
"C0015127",267,"Etiology aspects"
"C0441471",266,"Event"
"C1446409",266,"Positive"
"C0001554",262,"Administration occupational activities"
"C1512080",261,"Dryness (characteristic)"
"C0814201",259,"Adolescent Drinking Index"
"C1515023",259,"Submitted"
"C0004950",258,"Belgium"
"C0000715",257,"Abattoirs"
"C0443224",254,"Fresh (qualifier value)"
"C0248241",254,"CEF regimen"
"C0237607",253,"Practice Experience"
"C0003232",252,"Antibiotics"
"C1550548",252,"entry - ActRelationshipCheckpoint"
"C0002045",250,"algorithm"
"C0041700",249,"United Kingdom"
"C0007004",249,"Carbohydrates"
"C0037092",249,"Silage"
"C0597198",248,"Performance"
"C1258063",247,"Physiological Effects of Drugs"
"C0034036",245,"Publications"
"C0597177",244,"Particle"
"C0521346",244,"respiratory"
"C1879533",244,"Acceptable"
"C0037440",242,"Social Welfare"
"C0021585",241,"Insecta"
"C0242772",241,"Tomatoes"
"C3669471",241,"Chicken laying egg for human food"
"C0011121",240,"Decontamination"
"C0596583",240,"Food Chain"
"C0037592",240,"Soil"
"C0012984",239,"Canis familiaris"
"C1706077",239,"user - individual"
"C1265611",237,"Quantity"
"C0205540",237,"Approved"
"C0001948",236,"Alcohol consumption"
"C0018019",235,"Capra hircus"
"C0557759",235,"Farming environment"
"C0424215",231,"Sense of identity (observable entity)"
"C0020792",228,"Identification (Psychology)"
"C0392360",228,"Indication of (contextual qualifier)"
"C0027778",228,"Netherlands"
"C0024501",226,"Maintenance"
"C3534575",225,"Animal Health"
"C4049939",224,"FDA Establishment Activity Terminology"
"C0441621",224,"Sampling - Surgical action"
"C0242724",223,"Plant Leaves"
"C1521970",219,"Characteristics"
"C0439780",218,"Forward"
"C0021267",218,"Industry"
"C0007757",218,"Cereals"
"C0043528",217,"Zoonoses"
"C0036581",217,"selenium"
"C1522326",217,"Treating"
"C0392762",216,"Quantitative"
"C1522410",216,"Highest"
"C0869004",214,"pests"
"C0205472",214,"Toxicologic"
"C0392760",211,"Affecting"
"C0180153",210,"Covers (device)"
"C0026528",210,"Moral Obligations"
"C0014507",208,"Epidemiology"
"C1705920",208,"Species"
"C0449864",207,"Threshold"
"C0969625",207,"Methodology aspects"
"C0015852",207,"Fermentation"
"C0028423",207,"Norway"
"C0022885",206,"Laboratory Procedures"
"C0010196",205,"Gossypium"
"C1518613",205,"Organism Modification"
"C1880156",205,"Comprehensive"
"C2985705",205,"Active Indicator"
"C0683757",205,"Company (organization)"
"C1704788",204,"Definition"
"C0031082",204,"Periodicals"
"C1524063",204,"Use of"
"C2825217",203,"Union"
"C0162469",202,"Law Enforcement"
"C0205160",200,"Negative"
"C3854153",200,"guidance - Measure Attribute"
"C1550452",199,"definition - ActMoodCompletionTrack"
"C0005532",199,"biology (field)"
"C0441655",199,"Activities"
"C0023884",197,"Liver"
"C0043210",197,"Woman"
"C1709701",197,"Project"
"C0040722",197,"disease transmission qualifier"
"C0013220",196,"Drug Tolerance"
"C0439231",196,"month"
"C1135183",196,"Sus scrofa"
"C0008903",195,"Taxonomic"
"C1705273",194,"Mathematical Operator"
"C0015733",194,"Feces"
"C0043481",194,"zinc"
"C0220920",194,"surveillance aspects"
"C0733511",193,"Medical Surveillance"
"C0600688",192,"Toxic effect"
"C1710028",190,"Scope"
"C0332196",189,"Exclude"
"C0019236",189,"Herbicides"
"C1514811",188,"Bibliographic Reference"
"C1708517",188,"Input"
"C0013682",188,"Efficiency"
"C1554213",188,"qualified entity"
"C0443131",188,"Accurate (qualifier)"
"C0332181",187,"Annual"
"C0006675",187,"calcium"
"C0035168",187,"research"
"C0009563",187,"Biomechanical compliance"
"C0037747",186,"Spain"
"C0025361",186,"Mental Processes"
"C2607943",184,"findings aspects"
"C0553561",184,"Colony-forming unit"
"C1292732",183,"Investigates"
"C0033684",183,"Proteins"
"C0330502",182,"Brassica napus"
"C0016132",182,"Finland"
"C1519814",180,"Update"
"C0022277",180,"Italy"
"C0001752",179,"African swine fever"
"C0324889",178,"Old World rabbit"
"C0449445",178,"Approach"
"C0683971",177,"General Population"
"C1519941",177,"Validation"
"C0025953",177,"Microbiological"
"C1257900",177,"Colicin Plasmids"
"C0032846",177,"Potato"
"C0868970",176,"Host plants"
"C0682053",175,"Toddler (age group)"
"C0237881",175,"Statistical Significance"
"C0012503",174,"Dioxins"
"C1155711",173,"Stem Cell Self-Renewal"
"C0032447",173,"Polychlorinated Biphenyls"
"C0524527",173,"Drug Formulation Process"
"C0242485",173,"Measurement"
"C0039421",173,"Technology"
"C0444504",172,"Statistical mean"
"C0021135",172,"In Vitro [Publication Type]"
"C1158478",172,"DNA Integration"
"C3242656",171,"dependent young children"
"C0019944",170,"Equus caballus"
"C0439617",170,"Revision"
"C0018017",170,"objective (goal)"
"C1832073",169,"Handling"
"C2983605",169,"Food Consumption"
"C0332306",169,"Quality"
"C4282183",168,"[AA000] INTRODUCTION"
"C0205163",167,"Equal"
"C0442808",167,"Increasing"
"C1548600",166,"user - Facility type"
"C0019906",166,"Honey"
"C0549178",166,"Continuous"
"C0870077",166,"Rule (guideline)"
"C1456627",166,"Antimicrobial Resistance"
"C1286104",166,"Dietary intake"
"C0042295",165,"Values"
"C0065042",165,"Annexins"
"C0457802",164,"Strawberries"
"C1457900",163,"Each (qualifier value)"
"C1315011",163,"Challenge tests"
"C0003047",162,"Animal Diseases"
"C0205082",162,"Severe (severity modifier)"
"C0016094",162,"File (record)"
"C1441506",162,"Calculation"
"C4288315",161,"REMS Stakeholder"
"C0309872",161,"PREVENT (product)"
"C0205360",161,"Stable status"
"C0162791",160,"Guidelines"
"C1257899",159,"Genotoxic Stress"
"C0205178",159,"acute"
"C0001563",159,"Administration, Oral"
"C0678257",158,"Description"
"C4763584",158,"Live Animal Dosage Form"
"C0242765",158,"Lettuce - dietary"
"C1710187",158,"Statement"
"C0302583",157,"iron"
"C0678594",156,"Structure"
"C0007450",156,"Felis catus"
"C0033213",154,"Problem"
"C0205307",154,"Normal"
"C0205146",154,"Area"
"C4505225",153,"Food Ingredients"
"C0042768",153,"Virus Cultivation"
"C0013194",153,"Drug Packaging"
"C1516695",152,"Collected"
"C0443288",152,"Restricted"
"C0014695",152,"ergocalciferol"
"C0010176",151,"Cost Control"
"C0566588",151,"Compliant (qualifier value)"
"C0439230",150,"week"
"C0035150",150,"Reproduction"
"C0021212",150,"Indicators"
"C0087111",150,"Therapeutic procedure"
"C0205653",148,"Adolescent (age group)"
"C1551393",148,"Container status - Missing"
"C0002520",148,"Amino Acids"
"C1301860",147,"Legal"
"C0028778",146,"Obstruction"
"C0599894",146,"cellular targeting"
"C0441712",146,"Mechanism (attribute)"
"C0936012",145,"Analysis"
"C1096775",145,"Clinical Trial [Publication Type]"
"C0006813",145,"Campylobacter"
"C0028908",145,"Oils"
"C0006632",145,"cadmium"
"C0679360",144,"Foodborne Disease"
"C0205191",144,"chronic"
"C0026955",144,"Mycotoxins"
"C0871261",143,"Response process"
"C1518601",143,"Options"
"C0220898",143,"Predisposition -- attribute"
"C1325847",142,"Sensitization (observable entity)"
"C3245461",142,"with issues"
"C0221928",142,"Dermal - anatomy qualifier"
"C4049986",142,"Impact"
"C0037420",141,"Social Interaction"
"C0596381",141,"Consumer product"
"C0229961",141,"Carcass"
"C0017431",140,"Genotype"
"C0036025",139,"Saccharomyces cerevisiae"
"C0027362",138,"Human Age Group"
"C0016993",138,"Gambia"
"C0007637",138,"Inclusion Bodies"
"C0684075",138,"Adult female pig having farrowed"
"C0745732",138,"List"
"C0205296",137,"Natural"
"C0018208",137,"Grapes (Dietary)"
"C4076706",137,"Assessment of environmental risk"
"C0518609",137,"Consideration"
"C0221102",137,"Excretory function"
"C1539893",136,"SUMF1 gene"
"C4053931",136,"Tolerable"
"C0040300",136,"Body tissue"
"C0183809",135,"Operating Tables"
"C1883562",135,"Working Group"
"C0332325",135,"Resistant (qualifier value)"
"C1515022",135,"Submission"
"C2348236",134,"Specimen at Room Temperature"
"C0041703",133,"United States"
"C0871208",133,"Rating (action)"
"C0205279",133,"Contaminated"
"C0018226",132,"Greece"
"C0040223",132,"Time"
"C0441472",131,"Clinical action"
"C0439962",131,"Mixture"
"C1257890",130,"Population Group"
"C1706750",130,"Agent Expert"
"C0043137",130,"Wheat (Dietary)"
"C0085209",130,"Encephalopathy, Bovine Spongiform"
"C0439422",130,"milligram/day"
"C0205263",130,"Induce (action)"
"C0871161",129,"Property (attribute)"
"C1521738",129,"Field"
"C1547277",129,"Draft"
"C0036140",129,"Salts"
"C1515655",129,"In Vivo"
"C1707689",129,"Design"
"C2986411",128,"Improvement"
"C0005515",128,"Biological Factors"
"C1547902",128,"Precision - temporal"
"C0000854",127,"Process of absorption"
"C0017446",127,"Geographic Locations"
"C0004923",127,"Bees"
"C0038215",126,"Science of Statistics"
"C0700325",126,"Patient observation"
"C0205390",125,"Phase"
"C2347387",125,"Official"
"C3669679",125,"Chicken for meat production"
"C0681842",124,"Prediction"
"C0015684",124,"Fatty Acids"
"C1709707",123,"Proportion"
"C0009452",123,"Communication"
"C0001884",123,"Airway Resistance Test"
"C0205314",122,"New"
"C2827742",122,"Mean Residence Time"
"C0587178",122,"Anti-nuclear antibody measurement"
"C0004348",122,"Austria"
"C0449719",122,"Part"
"C0680844",122,"estimation <subjective>"
"C1548385",122,"Act Relationship Type - documents"
"C0021576",121,"Insecticides"
"C0018270",121,"Growth"
"C0026606",121,"Physical activity"
"C0205246",121,"Generalized"
"C0205224",120,"Essential"
"C0010422",120,"Crystallins"
"C0024106",120,"Lumpy Skin Disease"
"C1420811",119,"TNFRSF19 gene"
"C0009431",119,"Commerce"
"C0750484",119,"Confirmation"
"C0026649",119,"Movement"
"C1880177",119,"Contribution"
"C0442711",118,"Protocols documentation"
"C1516240",118,"Capacity"
"C0035649",118,"Risk Management"
"C2347858",118,"Conservation"
"C0849355",118,"Removed"
"C0024660",117,"Mammals"
"C0053800",117,"bisphenol A"
"C1710677",117,"Withdrawal by Subject"
"C0015677",116,"Fatty acid glycerol esters"
"C0013879",116,"Elements"
"C0268281",116,"Infantile neuronal ceroid lipofuscinosis"
"C0205341",115,"Repeat"
"C1806781",115,"Short"
"C0205225",115,"Primary"
"C0242961",114,"Replication Origin"
"C0205148",114,"Surface"
"C0015259",113,"Exercise"
"C0031843",112,"physiological aspects"
"C0004896",112,"Beans (food)"
"C4053983",112,"Subchronic"
"C0456205",112,"Contents"
"C0814225",112,"Benefit"
"C0458003",112,"Developmental (qualifier value)"
"C1510670",112,"Feeds"
"C0040549",111,"Toxin"
"C0032167",111,"Plastics"
"C0037473",111,"sodium"
"C0011065",111,"Cessation of life"
"C1524004",110,"Authorization documentation"
"C0009276",110,"Order Coleoptera"
"C0026878",110,"Mutagenicity Tests"
"C0024337",110,"lysine"
"C1523987",109,"Alternative"
"C0016832",109,"Fungi"
"C0009462",108,"Community"
"C0004083",108,"Mental association"
"C0180098",108,"Containers"
"C1707283",108,"Carcinogenic Metal"
"C0449295",108,"Limitation"
"C0033095",108,"Pressure- physical agent"
"C0009826",108,"Consumer Product Safety"
"C1550600",107,"Ingredient"
"C4054723",107,"Influence"
"C0449911",107,"View"
"C0422202",106,"Notifications (procedure)"
"C0022877",106,"Laboratory"
"C0037585",105,"Computer software"
"C0013470",105,"Eating"
"C0439064",105,"Numerous"
"C0086022",105,"Cloning Vectors"
"C1136254",104,"Microbicides"
"C0205081",104,"Moderate (severity modifier)"
"C0039593",104,"Testing"
"C0242297",104,"Dietary Supplementation"
"C0009064",103,"Clostridium tetani"
"C0138547",103,"prohibit"
"C1261552",103,"Step (specific stage)"
"C0858970",103,"Carcinogenicity"
"C0333052",103,"Version"
"C0043237",102,"World Health Organization"
"C0683368",102,"Symptoms aspect"
"C0020405",102,"Hygiene"
"C0042221",102,"Vacuum (physical force)"
"C0220781",102,"Anabolism"
"C0237753",102,"Numbers"
"C2348205",102,"Similarity"
"C1514798",101,"Recombinants"
"C0039224",101,"Table - furniture"
"C0036070",101,"Sales - occupational activity"
"C0008865",101,"Citrus plant"
"C0016610",101,"fosfomycin"
"C1553495",101,"monitoring program"
"C0002062",101,"Alkaloids"
"C0043227",101,"Work"
"C0206225",101,"Aquaculture"
"C0558295",100,"preference"
"C0012655",100,"Disease susceptibility"
"C0030498",100,"Parasites"
"C1510992",100,"Average"
"C0002367",100,"aluminum"
"C0008902",100,"Classification"
"C0330090",100,"Flowers"
"C0050587",100,"acrylamide"
"C0006368",100,"Country of Bulgaria"
"C1137094",99,"Risk Reduction"
"C0012656",99,"Disease Vectors"
"C0599833",99,"Diagnostic and Statistical Manual"
"C0179376",99,"Bottle, device"
"C1706202",99,"Search - action"
"C0199176",99,"Prophylactic treatment"
"C0016627",99,"Influenza in Birds"
"C0004755",98,"Hordeum"
"C0205231",98,"Extensive"
"C0449286",98,"Degree or extent"
"C0021149",98,"Incidence"
"C2346714",98,"Abundance"
"C0681850",97,"Study Subject"
"C1548982",97,"Washed"
"C0009968",97,"copper"
"C0021968",96,"iodine"
"C0042196",96,"Vaccination"
"C1708235",96,"Genus"
"C0005329",96,"Beverages"
"C0678723",96,"Biologic Development"
"C0330477",96,"Cucurbita"
"C0241232",95,"spring (season)"
"C2239193",95,"Controlling (action)"
"C0226896",95,"Oral cavity"
"C0525063",95,"Benchmarking"
"C3891300",95,"Vendor Information Documentation"
"C0470187",95,"Availability of"
"C0022067",95,"Ireland"
"C0010957",95,"Tissue damage"
"C0439855",95,"Complex"
"C0036576",95,"Genetic Selection"
"C1511559",94,"Cumulative"
"C0521114",94,"Infrequent"
"C0580794",94,"Shiga-Toxigenic Escherichia coli"
"C0042615",94,"Veterinary Medicine (discipline)"
"C4054882",93,"H5N2 Avian Influenza Virus"
"C0949285",93,"Antibiotic Resistance, Microbial"
"C1698986",93,"Storage"
"C0041263",93,"Glossina <genus>"
"C0184054",93,"Tray - device"
"C0241737",93,"Winter"
"C1710706",92,"Zone"
"C1140694",92,"Bio-Informatics"
"C0543419",92,"Sequela of disorder"
"C1514721",91,"Range"
"C1551807",91,"Council Eskimos"
"C0003968",91,"ascorbic acid"
"C0282419",91,"Technical Report"
"C0023047",91,"Larva"
"C0027581",91,"Phylum Nematoda"
"C0025664",91,"Methods aspects"
"C0349590",90,"Nature"
"C0061764",90,"glyphosate"
"C0205313",90,"Original"
"C0235744",90,"Breath Holding"
"C0178621",90,"Ecotoxicology"
"C0453111",90,"Aubergine"
"C3714514",90,"Infection"
"C0199219",90,"Inspection (procedure)"
"C1948091",89,"biological hazards"
"C1881215",89,"Inorganic"
"C0032076",89,"Planning Techniques"
"C0004595",89,"Bacillus subtilis"
"C0205373",88,"Systemic"
"C1300196",88,"Organized"
"C0178628",88,"evaluation/testing"
"C1522634",88,"Question (inquiry)"
"C1512888",88,"International"
"C0103406",88,"Annexin A4"
"C0006147",88,"Breast Feeding"
"C0428715",88,"Gas flow"
"C1555707",87,"extract - ActClassContainer"
"C1517586",87,"Investigational"
"C0013956",87,"Emergency Situation"
"C0031330",87,"Pharmacology"
"C3494275",87,"Protein Degradation End Products"
"C0162358",87,"Ecosystem"
"C0025424",87,"mercury"
"C0205409",87,"Isolated"
"C0242781",87,"disease transmission"
"C4055506",87,"Accumulation"
"C0001792",87,"Elderly (population group)"
"C0204695",87,"Feeding patient"
"C0678367",87,"public entity"
"C0870071",87,"Modeling"
"C0023861",87,"Listeria monocytogenes"
"C3899571",87,"Clinical Trial Monitoring Plan"
"C0041249",86,"tryptophan"
"C0015237",86,"Pharmaceutical Excipient"
"C0032521",86,"Polymers"
"C0521116",86,"Current (present time)"
"C0038995",86,"Sweden"
"C0348011",86,"Surgical transfer - action"
"C0002518",86,"Amino Acid Sequence"
"C0680536",86,"commercial"
"C0009237",86,"Coffee"
"C0007165",85,"Cardiac Output"
"C0302891",85,"Native (qualifier value)"
"C0205419",85,"Variant"
"C1553879",85,"applies to - HL7 Value Set and Coded Concept Property Codes"
"C0085104",85,"Drug Delivery Systems"
"C0030499",85,"Parasitic Diseases"
"C0020283",85,"Hydrogen-Ion Concentration"
"C0178566",85,"concept"
"C1441672",85,"Observed"
"C0018626",85,"Hazardous Substances"
"C1442323",85,"Raw Milk"
"C0003504",85,"Aortic Valve Insufficiency"
"C0227230",84,"Body of stomach"
"C0017189",84,"Gastrointestinal tract structure"
"C0237463",84,"Agencies"
"C1710133",83,"South"
"C0549179",83,"Priority"
"C0557061",83,"Discussion (procedure)"
"C0453397",83,"Piper nigrum (plant)"
"C0086582",83,"Males"
"C0016701",83,"Freezing"
"C0035237",83,"Respiratory System"
"C0025867",82,"Metric System"
"C0681814",82,"research study"
"C0442504",82,"Place"
"C0027996",82,"niacin"
"C0015576",82,"Family"
"C1079230",82,"Subgroup A Nepoviruses"
"C0439603",82,"Frequencies (time pattern)"
"C0003063",82,"Animals, Domestic"
"C0038137",82,"standards characteristics"
"C1705501",82,"Chemical Formula"
"C0043188",81,"Wine"
"C1511545",81,"Critical"
"C1140701",81,"Bos taurus"
"C0993610",80,"Oral Pellet"
"C1283174",80,"Checking (action)"
"C0016253",80,"Florida"
"C0004793",80,"Base Sequence"
"C1709359",80,"Outdoors"
"C3889678",80,"Institutional Review Board Independent Ethics Committee Subject Information Document"
"C0074722",80,"sodium bicarbonate"
"C4744737",80,"Distrito Federal"
"C1709366",80,"system output"
"C0686732",79,"Environmental risk factor"
"C2827666",79,"Variability"
"C0599638",79,"Drinking Water"
"C0085105",79,"Breast Self-Examination"
"C0282116",79,"Collaboration"
"C0005528",79,"Biological Transport"
"C0026565",79,"Mortality Vital Statistics"
"C1145667",79,"Binding action"
"C0600644",78,"Collections (publication)"
"C0162574",78,"Glycation End Products, Advanced"
"C1527075",78,"Revision procedure"
"C3242390",78,"foodborne"
"C0025914",78,"House mice"
"C3266812",78,"Methodology"
"C0242726",78,"Plant Roots"
"C0043457",78,"Zebrafish"
"C0231175",78,"Failed"
"C0085973",78,"Case Study"
"C2713356",78,"Science in Literature"
"C1882508",77,"Purity"
"C0014499",77,"Epidemic"
"C0040005",77,"threonine"
"C0037088",77,"Signs and Symptoms"
"C0015252",77,"removal technique"
"C0456603",77,"Ratio"
"C1442989",77,"Standard (qualifier)"
"C4552602",77,"Adoptive Cell Therapy Agent"
"C2350434",77,"i-POD"
"C0205173",77,"Duplicate"
"C0013556",77,"Economics"
"C0011318",77,"Denmark"
"C0449432",77,"Component object"
